"lme","Year","RCP","MMA.MeanCat","MMA.TrimMeanCat","MMA.MedCat","Count"
1,1957,"R85",0.000188413044084445,0.000188413044084445,0.000670605948611697,21.6666666666667
1,1958,"R26",-0.00653351252803891,-0.00653351252803891,-0.00083660149467718,21.6666666666667
1,1958,"R85",7.00458935411078e-05,7.00458935411078e-05,1.74950454715671e-05,21.6666666666667
1,1959,"R26",-0.017081017861745,-0.017081017861745,-0.00239117340847296,21.6666666666667
1,1959,"R85",-0.00580227669684583,-0.00580227669684583,-0.00219339298887956,21.6666666666667
1,1960,"R26",-0.0282000900857788,-0.0282000900857788,-0.00349690990941934,21.6666666666667
1,1960,"R85",-0.0117888385971357,-0.0117888385971357,-0.00278686766402512,21.6666666666667
1,1961,"R26",-0.0377587534139136,-0.0377587534139136,-0.00485651681379477,21.6666666666667
1,1961,"R85",-0.0181074232175173,-0.0181074232175173,-0.0032991155896877,21.6666666666667
1,1962,"R26",-0.040988804492196,-0.040988804492196,-0.00665446098943507,21.6666666666667
1,1962,"R85",-0.0221796691807713,-0.0221796691807713,-0.00440852421540451,21.6666666666667
1,1963,"R26",-0.04292300769066,-0.04292300769066,-0.0116913119203434,21.6666666666667
1,1963,"R85",-0.0256014546510153,-0.0256014546510153,-0.00884117509823401,21.6666666666667
1,1964,"R26",-0.0434176888346134,-0.0434176888346134,-0.0110257326085363,21.6666666666667
1,1964,"R85",-0.0275528584332953,-0.0275528584332953,-0.00814120740155478,21.6666666666667
1,1965,"R26",-0.0406659703274172,-0.0406659703274172,-0.0118981652735875,21.6666666666667
1,1965,"R85",-0.0258750493251628,-0.0258750493251628,-0.00955332021007553,21.6666666666667
1,1966,"R26",-0.03985297069652,-0.03985297069652,-0.0125145300279571,21.6666666666667
1,1966,"R85",-0.0254711284655381,-0.0254711284655381,-0.0106159288809619,21.6666666666667
1,1967,"R26",-0.038413080976703,-0.038413080976703,-0.0126750028749907,21.6666666666667
1,1967,"R85",-0.0266222958572597,-0.0266222958572597,-0.0113333998152918,21.6666666666667
1,1968,"R26",-0.0366678563958559,-0.0366678563958559,-0.0127563455482313,21.6666666666667
1,1968,"R85",-0.0292833022141093,-0.0292833022141093,-0.0109779479860323,21.6666666666667
